name,whitelist,count
SRR8165386_2,v1,556
SRR8165386_2,v2,194629
SRR8165386_2,v3,19650
SRR8165386_3,arc,19
SRR8165386_3,v1,533
SRR8165386_3,v2,78
SRR8165386_3,v3,361
SRR8165387_1,arc,0
SRR8165387_1,v1,0
SRR8165387_1,v2,0
SRR8165387_1,v3,0
SRR8165387_2,arc,283
SRR8165387_2,v1,379
SRR8165387_2,v2,194771
SRR8165387_2,v3,20895
SRR8165387_3,arc,26
SRR8165387_3,v1,602
SRR8165387_3,v2,102
SRR8165387_3,v3,341
SRR8034292_1,arc,0
SRR8034292_1,v1,0
SRR8034292_1,v2,0
SRR8034292_1,v3,0
SRR8034292_2,arc,18
SRR8034292_2,v1,527
SRR8034292_2,v2,54
SRR8034292_2,v3,337
SRR8034292_3,arc,0
SRR8034292_3,v1,175960
SRR8034292_3,v2,0
SRR8034292_3,v3,0
SRR8034292_4,arc,0
SRR8034292_4,v1,0
SRR8034292_4,v2,0
SRR8034292_4,v3,0
SRR8034293_1,arc,0
SRR8034293_1,v1,0
SRR8034293_1,v2,0
SRR8034293_1,v3,0
SRR8034293_2,arc,29
SRR8034293_2,v1,557
SRR8034293_2,v2,49
SRR8034293_2,v3,350
SRR8034293_3,arc,0
SRR8034293_3,v1,173229
SRR8034293_3,v2,0
SRR8034293_3,v3,0
SRR8034293_4,arc,0
SRR8034293_4,v1,0
SRR8034293_4,v2,0
SRR8034293_4,v3,0
SRR8034294_1,arc,0
SRR8034294_1,v1,0
SRR8034294_1,v2,0
SRR8034294_1,v3,0
SRR8034294_2,arc,20
SRR8034294_2,v1,521
SRR8034294_2,v2,50
SRR8034294_2,v3,322
SRR8034294_3,arc,0
SRR8034294_3,v1,175352
SRR8034294_3,v2,0
SRR8034294_3,v3,0
SRR8034294_4,arc,0
SRR8034294_4,v1,0
SRR8034294_4,v2,0
SRR8034294_4,v3,0
SRR8034295_1,arc,0
SRR8034295_1,v1,0
SRR8034295_1,v2,0
SRR8034295_1,v3,0
SRR8034295_2,arc,20
SRR8034295_2,v1,517
SRR8034295_2,v2,44
SRR8034295_2,v3,330
SRR8034295_3,arc,0
SRR8034295_3,v1,171909
SRR8034295_3,v2,0
SRR8034295_3,v3,0
SRR8034295_4,arc,0
SRR8034295_4,v1,0
SRR8034295_4,v2,0
SRR8034295_4,v3,0
SRR8034296_1,arc,0
SRR8034296_1,v1,0
SRR8034296_1,v2,0
SRR8034296_1,v3,0
SRR8034296_2,arc,26
SRR8034296_2,v1,569
SRR8034296_2,v2,58
SRR8034296_2,v3,294
SRR8034296_3,arc,0
SRR8034296_3,v1,176006
SRR8034296_3,v2,0
SRR8034296_3,v3,0
SRR8034296_4,arc,0
SRR8034296_4,v1,0
SRR8034296_4,v2,0
SRR8034296_4,v3,0
SRR8034297_1,arc,0
SRR8034297_1,v1,0
SRR8034297_1,v2,0
SRR8034297_1,v3,0
SRR8034297_2,arc,26
SRR8034297_2,v1,528
SRR8034297_2,v2,61
SRR8034297_2,v3,260
SRR8034297_3,arc,0
SRR8034297_3,v1,173268
SRR8034297_3,v2,0
SRR8034297_3,v3,0
SRR8034297_4,arc,0
SRR8034297_4,v1,0
SRR8034297_4,v2,0
SRR8034297_4,v3,0
SRR8034298_1,arc,0
SRR8034298_1,v1,0
SRR8034298_1,v2,0
SRR8034298_1,v3,0
SRR8034298_2,arc,23
SRR8034298_2,v1,536
SRR8034298_2,v2,63
SRR8034298_2,v3,301
SRR8034298_3,arc,0
SRR8034298_3,v1,175102
SRR8034298_3,v2,0
SRR8034298_3,v3,0
SRR8034298_4,arc,0
SRR8034298_4,v1,0
SRR8034298_4,v2,0
SRR8034298_4,v3,0
SRR8034299_1,arc,0
SRR8034299_1,v1,0
SRR8034299_1,v2,0
SRR8034299_1,v3,0
SRR8034299_2,arc,28
SRR8034299_2,v1,566
SRR8034299_2,v2,55
SRR8034299_2,v3,308
SRR8034299_3,arc,0
SRR8034299_3,v1,171494
SRR8034299_3,v2,0
SRR8034299_3,v3,0
SRR8034299_4,arc,0
SRR8034299_4,v1,0
SRR8034299_4,v2,0
SRR8034299_4,v3,0
SRR8240346_1,arc,192
SRR8240346_1,v1,484
SRR8240346_1,v2,193702
SRR8240346_1,v3,19727
SRR8240346_2,arc,70
SRR8240346_2,v1,567
SRR8240346_2,v2,159
SRR8240346_2,v3,355
SRR8240346_3,arc,0
SRR8240346_3,v1,0
SRR8240346_3,v2,0
SRR8240346_3,v3,0
SRR8318953_1,arc,0
SRR8318953_1,v1,0
SRR8318953_1,v2,0
SRR8318953_1,v3,0
SRR8318953_2,arc,433
SRR8318953_2,v1,226
SRR8318953_2,v2,190758
SRR8318953_2,v3,11158
SRR8318953_3,arc,17
SRR8318953_3,v1,272
SRR8318953_3,v2,30
SRR8318953_3,v3,133
SRR8318954_1,arc,0
SRR8318954_1,v1,0
SRR8318954_1,v2,0
SRR8318954_1,v3,0
SRR8318954_2,arc,27
SRR8318954_2,v1,141
SRR8318954_2,v2,190859
SRR8318954_2,v3,22441
SRR8318954_3,arc,84
SRR8318954_3,v1,196
SRR8318954_3,v2,29
SRR8318954_3,v3,119
SRR8318955_1,arc,0
SRR8318955_1,v1,0
SRR8318955_1,v2,0
SRR8318955_1,v3,0
SRR8318955_2,arc,84
SRR8318955_2,v1,166
SRR8318955_2,v2,194142
SRR8318955_2,v3,22141
SRR8318955_3,arc,32
SRR8318955_3,v1,236
SRR8318955_3,v2,40
SRR8318955_3,v3,129
SRR8318956_1,arc,0
SRR8318956_1,v1,0
SRR8318956_1,v2,0
SRR8318956_1,v3,0
SRR8318956_2,arc,64
SRR8318956_2,v1,255
SRR8318956_2,v2,152386
SRR8318956_2,v3,5563
SRR8318956_3,arc,54
SRR8318956_3,v1,309
SRR8318956_3,v2,69
SRR8318956_3,v3,161
SRR8452033_1,arc,215
SRR8452033_1,v1,530
SRR8452033_1,v2,194457
SRR8452033_1,v3,19875
SRR8452033_2,arc,13
SRR8452033_2,v1,416
SRR8452033_2,v2,9
SRR8452033_2,v3,221
SRR8452033_3,arc,0
SRR8452033_3,v1,0
SRR8452033_3,v2,0
SRR8452033_3,v3,0
SRR10202213_1,arc,99
SRR10202213_1,v1,340
SRR10202213_1,v2,193481
SRR10202213_1,v3,19698
SRR10202213_2,arc,20
SRR10202213_2,v1,546
SRR10202213_2,v2,91
SRR10202213_2,v3,286
SRR10202213_3,arc,0
SRR10202213_3,v1,0
SRR10202213_3,v2,0
SRR10202213_3,v3,0
SRR8697996_1,arc,0
SRR8697996_1,v1,0
SRR8697996_1,v2,0
SRR8697996_1,v3,0
SRR8697996_2,arc,169
SRR8697996_2,v1,476
SRR8697996_2,v2,184614
SRR8697996_2,v3,19016
SRR8697996_3,arc,11
SRR8697996_3,v1,277
SRR8697996_3,v2,26
SRR8697996_3,v3,161
SRR8697997_1,arc,0
SRR8697997_1,v1,0
SRR8697997_1,v2,0
SRR8697997_1,v3,0
SRR8697997_2,arc,153
SRR8697997_2,v1,414
SRR8697997_2,v2,176374
SRR8697997_2,v3,18102
SRR8697997_3,arc,19
SRR8697997_3,v1,345
SRR8697997_3,v2,26
SRR8697997_3,v3,163
SRR8697998_1,arc,0
SRR8697998_1,v1,0
SRR8697998_1,v2,0
SRR8697998_1,v3,0
SRR8697998_2,arc,140
SRR8697998_2,v1,495
SRR8697998_2,v2,188087
SRR8697998_2,v3,19108
SRR8697998_3,arc,15
SRR8697998_3,v1,311
SRR8697998_3,v2,32
SRR8697998_3,v3,153
SRR8697999_1,arc,0
SRR8697999_1,v1,0
SRR8697999_1,v2,0
SRR8697999_1,v3,0
SRR8697999_2,arc,156
SRR8697999_2,v1,476
SRR8697999_2,v2,185416
SRR8697999_2,v3,18903
SRR8697999_3,arc,16
SRR8697999_3,v1,335
SRR8697999_3,v2,18
SRR8697999_3,v3,184
SRR8698000_1,arc,0
SRR8698000_1,v1,0
SRR8698000_1,v2,0
SRR8698000_1,v3,0
SRR8698000_2,arc,170
SRR8698000_2,v1,470
SRR8698000_2,v2,187508
SRR8698000_2,v3,19065
SRR8698000_3,arc,20
SRR8698000_3,v1,303
SRR8698000_3,v2,39
SRR8698000_3,v3,142
SRR8698001_1,arc,0
SRR8698001_1,v1,0
SRR8698001_1,v2,0
SRR8698001_1,v3,0
SRR8698001_2,arc,181
SRR8698001_2,v1,518
SRR8698001_2,v2,187635
SRR8698001_2,v3,18982
SRR8698001_3,arc,16
SRR8698001_3,v1,319
SRR8698001_3,v2,20
SRR8698001_3,v3,161
SRR8698002_1,arc,0
SRR8698002_1,v1,0
SRR8698002_1,v2,0
SRR8698002_1,v3,0
SRR8698002_2,arc,169
SRR8698002_2,v1,522
SRR8698002_2,v2,189717
SRR8698002_2,v3,19246
SRR8698002_3,arc,16
SRR8698002_3,v1,346
SRR8698002_3,v2,15
SRR8698002_3,v3,146
SRR8698003_1,arc,0
SRR8698003_1,v1,0
SRR8698003_1,v2,0
SRR8698003_1,v3,0
SRR8698003_2,arc,165
SRR8698003_2,v1,467
SRR8698003_2,v2,190285
SRR8698003_2,v3,19630
SRR8698003_3,arc,14
SRR8698003_3,v1,350
SRR8698003_3,v2,28
SRR8698003_3,v3,154
SRR8698004_1,arc,0
SRR8698004_1,v1,0
SRR8698004_1,v2,0
SRR8698004_1,v3,0
SRR8698004_2,arc,291
SRR8698004_2,v1,637
SRR8698004_2,v2,184273
SRR8698004_2,v3,19071
SRR8698004_3,arc,20
SRR8698004_3,v1,333
SRR8698004_3,v2,24
SRR8698004_3,v3,172
SRR8698005_1,arc,0
SRR8698005_1,v1,0
SRR8698005_1,v2,0
SRR8698005_1,v3,0
SRR8698005_2,arc,251
SRR8698005_2,v1,604
SRR8698005_2,v2,176628
SRR8698005_2,v3,18141
SRR8698005_3,arc,12
